sweep_joint_1_number,sweep_joint_1_name,sweep_joint_2_number,sweep_joint_2_name,j4_delta_deg,j5_delta_deg,target_j4_deg,target_j5_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_min,sigma_max,condition_number,manipulability
4,wrist_1_joint,5,wrist_2_joint,0.0,0.0,90.0,-90.0,-87.34860503094926,-84.17297004805435,-89.11653802590453,89.4157412926861,-89.10500183639638,89.03965741660686,1.8102655410766602,1.4499073028564453,1.004007339477539,0.5858954787254333,0.3484407067298889,0.251369833946228,0.251369833946228,1.8102655410766602,7.201602167839696,0.135232662088707
4,wrist_1_joint,5,wrist_2_joint,0.0,10.0,90.0,-80.0,-89.77927128107086,-89.61408998618327,-90.08619949180373,90.30481335656833,-80.76974633182546,89.92342925369316,1.8216944932937622,1.4410998821258545,1.0041069984436035,0.5906023979187012,0.35483017563819885,0.28005242347717285,0.28005242347717285,1.8216944932937622,6.504833883154198,0.1547051231864751
4,wrist_1_joint,5,wrist_2_joint,0.0,20.0,90.0,-70.0,-89.980632087992,-90.0582366973417,-90.16447345969208,90.39195974018853,-70.99633302580584,89.99389631536017,1.8548141717910767,1.400338888168335,1.004205346107483,0.6019480228424072,0.34746867418289185,0.2745205760002136,0.2745205760002136,1.8548141717910767,6.7565579193219865,0.14976335350666134
4,wrist_1_joint,5,wrist_2_joint,0.0,30.0,90.0,-60.0,-89.99712016464842,-90.09444353013194,-90.17637164922624,90.4445795175543,-61.10556340946705,89.99861597607665,1.897237777709961,1.3457144498825073,1.0043487548828125,0.6136917471885681,0.3409302234649658,0.2587030231952667,0.2587030231952667,1.897237777709961,7.333651359296033,0.13879581742043193
4,wrist_1_joint,5,wrist_2_joint,0.0,40.0,90.0,-50.0,-89.99847937229326,-90.09725073788081,-90.18461568755444,90.52029216450389,-51.207509396378455,89.99786465526795,1.940592885017395,1.2877780199050903,1.004512906074524,0.624279797077179,0.3370896577835083,0.23391540348529816,0.23391540348529816,1.940592885017395,8.296131234210762,0.12357040701459347
4,wrist_1_joint,5,wrist_2_joint,0.0,50.0,90.0,-40.0,-89.99856816475247,-90.09704583220571,-90.1937818014206,90.62637866269253,-41.31179813817516,89.9968742778383,1.9803770780563354,1.2333829402923584,1.0046613216400146,0.6325286030769348,0.3353748321533203,0.20105357468128204,0.20105357468128204,1.9803770780563354,9.849996853802308,0.10466176382110248
4,wrist_1_joint,5,wrist_2_joint,0.0,60.0,90.0,-30.0,-89.99860231569832,-90.09630134158618,-90.20384950025719,90.76395233295493,-31.418528672600154,89.99649178724478,2.0140841007232666,1.1877024173736572,1.0047448873519897,0.6372440457344055,0.33500218391418457,0.16107052564620972,0.16107052564620972,2.0140841007232666,12.50436163067592,0.08264386950132045
4,wrist_1_joint,5,wrist_2_joint,0.0,70.0,90.0,-20.0,-89.99893699496765,-90.09561149248,-90.21466168971332,90.92334162742634,-21.523271621976672,89.99705186275672,2.0402419567108154,1.1547452211380005,1.0047262907028198,0.6373669505119324,0.33549368381500244,0.11491122841835022,0.11491122841835022,2.0402419567108154,17.754939920083636,0.058163711865113106
4,wrist_1_joint,5,wrist_2_joint,0.0,80.0,90.0,-10.0,-89.99918971196693,-90.09470990750957,-90.22536459614274,91.07413854392188,-11.613908523169819,89.99850669304993,2.057980537414551,1.137089729309082,1.0046486854553223,0.6323688626289368,0.3366210162639618,0.06377313286066055,0.06377313286066055,2.057980537414551,32.27033775980681,0.03191536140833553
4,wrist_1_joint,5,wrist_2_joint,0.0,90.0,90.0,0.0,-89.9995858629388,-90.09434790748355,-90.23449655906305,91.16545817312495,-1.670285302207889,90.00090408944861,2.0668115615844727,1.1355853080749512,1.0046578645706177,0.6226053833961487,0.33830446004867554,0.009303849190473557,0.009303849190473557,2.0668115615844727,222.14585804988462,0.004620545862624789
